id|title|published_date|quiz_description|quiz_category|quiz_type|thumbnail|canvas|source|visits|search_tags|rating|author|geo_tags|interests|featured|sponsored|active
31|Every country in Africa|2021-6-13|How many countries in Africa can you name|3|2|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/e6a27c91-ee13-46f8-4c28-2dce1bcd8d00/public|africa|wikipedia|0|[africa, geography, african, country, countries]|5|quizgod|||0|0|1
32|Bands of the 80s|2021-6-15|Can you name this 80s band|12|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/3e833fe0-b507-4136-3f15-0e648b847700/public||https://soundcloud.com/maxkomusic/retro-80s-instrumental-background-music-electro-pop-free-download|0|[band, 80s, eighties, music, rock]|5|quizgod|||0|0|1
33|Which movie|2021-6-15|Test your movie buff chops by guessing which movie these scenes are from|1|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/0ba71984-5b5f-4412-997f-066ceda21500/public||Fox Corporation|0|[films, movies]|5|quizgod|||0|0|1
34|I know that song|2021-7-19|Can you name the song of this lyric|12|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/34ee436f-3f02-4edc-f4ae-66fb80791d00/public||https://commons.wikimedia.org/w/index.php?title=User:Arupdiary&action=edit&redlink=1|0|[music, songs, lyrics, sing]|5|quizgod|||0|0|1
35|That car looks familiar|2021-8-3|I know that car! Can you name the model of these cars. |11|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/c3a032dd-6543-4c42-4f76-3617e0f56300/public||Robert Jack|0|[cars]|5|quizgod|||0|0|1
36|I've been there|2021-9-19|Know your cities - which picture was this city taken in|3|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/86e1c35e-fccc-4808-4e77-7f2abf258000/public||https://www.geograph.org.uk/profile/22976|0|[cities, streets, location]|5|quizgod|||0|0|1
37|What's that flag?|2021-9-27|Name the country of each flag - get as many as you can|3|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/5f7ef214-d4e2-432e-0eaf-d834e6507600/public||https://commons.wikimedia.org/wiki/User:Yann|0|[flag, countries, country, nations]|5|quizgod|||0|0|1
38|Tme to logo|2021-9-28|Can you name the company for these logos|11|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/2b39134c-146d-4ab2-f76f-4858c5236900/public||https://commons.wikimedia.org/wiki/User:Rhododendrites|0|[logos, companies, company]|5|quizgod|||0|0|1
39|Bon appetite|2021-10-12|Name the country that this food originates from |8|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/7bf9917d-86f2-4932-7aba-77a3c12ec500/public||https://www.travlinmad.com/blog/traditional-food-around-the-world|0|[food, cuisines, meals]|5|quizgod|||0|0|1
40|Ingenius inventions|2021-10-13|Which country invented this amazing product|11|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/660802a9-8d6c-4d03-d850-c272e6cac000/public||https://yourtechdiet.com/blogs/10-best-inventions-last-decade-technology/|0|[inventions, science, innovations]|5|quizgod|||0|0|1
41|Footballers of the 2010s|2021-12-4|Can you name these footballer juggernauts of the 2010s|2|3|https://imagedelivery.net/vwSu9FPUDFstEEs0kvSDNg/4dbdf853-8d35-4953-572f-108a478db600/public||https://m.facebook.com/90sfootball/?__tn__=%2Cg|0|[2010s, footballers]|5|quizgod|||0|0|1
